Store,ActualSales,MAE,RMSPE
367,426700,1608.0203407689144,0.35581145927677027
128,645044,1606.2113932291666,0.19270405010734667
536,632591,1604.00734375,0.1973845692800739
1021,741535,1596.7411145662006,0.17944332828720577
267,715174,1591.2134046052631,0.1922578512399858
570,318058,1585.4703678385417,0.46784948468841836
913,675153,1584.7144270833332,0.18850225169524146
286,285310,1583.9015364583333,0.602608868628979
906,816118,1575.5076432291667,0.15588367695558875
468,465561,1575.3820415296052,0.3503459050055176
815,484584,1573.5168815104166,0.30224737152758213
655,676315,1568.9045052083334,0.18045874685234128
1092,944411,1562.8645052083334,0.14052405484555555
1014,792544,1562.6315299479168,0.37041833159427723
345,330573,1546.326484375,0.42128746676438267
888,690505,1539.2173943770558,0.18513628348095362
435,240794,1533.8829915364583,0.5330681039085791
557,320176,1531.2125130208333,0.45710540146477224
488,285927,1530.7802348889802,0.4710984440081194
341,440246,1523.8232161458334,0.29198182005842627
502,799584,1516.8400520833334,0.1686234442221338
199,652742,1511.2065299479166,0.18183670399877683
676,882553,1506.2557145003434,0.17529865752381432
703,248866,1506.2390397135416,0.5214294999546025
807,775503,1503.7048177083334,0.1791772927812146
497,688978,1503.5110677083333,0.1797752665906279
534,596279,1502.9108919270834,0.24009952484154712
167,731594,1500.9516408819902,0.20198855828190615
921,678074,1500.5714175575658,0.2784586614311579
456,458155,1499.7311653645834,0.3251694491723129
675,285156,1496.414853515625,0.5010874348478789
401,571088,1495.5529078433387,0.25439019473314056
735,420615,1495.0915591591283,0.3784819227391661
705,617206,1493.591875,0.19203381225396332
1066,802606,1491.40015625,0.1541533587864355
229,698312,1490.3255403645833,0.17070493976513385
539,875549,1487.99859375,0.14296360030480051
958,299421,1484.4927721525494,0.4082293813658285
894,656737,1482.4538411458334,0.18509856891088816
178,779622,1481.3429661800988,0.16050838673777207
995,737942,1468.6283344469573,0.16060802392026455
396,795240,1467.7011782997533,0.18724142487502976
1051,612685,1467.69927734375,0.1867851674434364
214,737313,1466.2688802083333,0.16064910093525225
372,716779,1465.83041015625,0.16183576475314576
719,406021,1457.91708984375,0.3471136576826454
687,711535,1457.45806640625,0.1701182204137073
726,848282,1452.1577662417762,0.15687438789785618
1056,359102,1447.51451171875,0.3772204547803692
122,675515,1446.006833254636,0.2441249823118515
1075,911609,1443.7780633223683,0.13408296830233457
679,767179,1440.77783203125,0.15335762473212525
911,761238,1439.9485826994244,0.15708200640994546
469,886112,1436.810456928454,0.1391559177757253
263,337561,1436.3038997395834,0.38830397179226356
595,1168589,1434.7534308182567,0.11762327072879443
426,386297,1427.68771484375,0.330748661485082
769,1130454,1425.151592548077,0.13036662177863043
868,758574,1421.6655859375,0.15310833463473203
857,632376,1417.1986458333333,0.17929929154828617
696,700117,1416.7772666529606,0.18282765915634674
585,379044,1414.5045294510692,0.37576996499890575
91,355406,1412.5079947916668,0.36483328207150734
1101,793491,1407.5687448601973,0.14829300320831182
925,547993,1404.89412109375,0.22087563801385773
342,879947,1403.11046875,0.13225795778071384
841,198347,1402.9285278320312,0.5944308514257931
383,1298641,1398.7651432291666,0.09931785876798456
608,731636,1398.6013633326481,0.17890749455615768
448,653626,1394.4273111979167,0.17971906075409275
83,297101,1393.9976334635417,0.3986291575733418
622,340200,1392.7632189298931,0.39436286928549913
773,400172,1386.0068684895834,0.3071832969798049
1045,752734,1385.3730898008241,0.21244536744241171
603,560503,1379.4390299479167,0.21275985771463338
610,322010,1378.6971614583333,0.4118232641501008
772,313339,1377.8311478464227,0.40792485725683997
749,354035,1374.0562109375,0.41692849595450704
407,332802,1372.403134765625,0.3633150140606965
928,617591,1372.3585416666667,0.17506308533745224
730,560495,1370.570710834704,0.26139427329826215
387,717767,1369.5915364583334,0.16180947594366488
530,555005,1366.3032950935783,0.28822298868790514
548,392770,1363.9894401041668,0.352214141115736
442,355665,1360.9305859375,0.36362021102674275
24,752299,1360.0272381756756,0.14280270661151742
133,454711,1359.9281455592106,0.3762593312962542
952,469377,1358.50869140625,0.2771031380438722
73,355847,1355.465576171875,0.43041241104756106
129,671836,1351.26361328125,0.16606656741821227
395,305612,1351.2102473958332,0.38380786027845254
732,655973,1350.8934071299793,0.3354464755165406
308,674603,1349.6986588541668,0.15893286412104604
484,605253,1345.2494860197369,0.20039423409427873
208,237088,1345.1532881887335,0.5136031772257845
594,337626,1342.018872712788,0.4089905938093695
800,364372,1338.13005859375,0.34088337671988145
571,652653,1336.8547981770832,0.1742679854555262
599,766765,1334.7556987561677,0.14778208527120087
690,430516,1334.6091276041666,0.2728612529291191
329,531789,1331.6319661458333,0.1989347426948811
553,581748,1331.0806705729167,0.2007560226529035
1064,747660,1330.97779296875,0.1467505094407399
148,695560,1330.6444156044408,0.16256828320414213
755,839190,1326.4400442023027,0.13837471767441242
104,815106,1325.9308246813323,0.14408396060560755
528,826083,1319.6305143229167,0.1411281446640076
904,437694,1319.0583658854166,0.3011998943032461
907,528838,1316.0487044270833,0.2616616738498689
1089,814784,1314.7579427083333,0.13399873038342788
64,866530,1311.17205078125,0.12777625113917304
510,634309,1310.1203255208334,0.19716845894546894
344,736317,1308.2477513363488,0.1474368165168692
1097,994470,1305.2240245106457,0.13336628404854667
90,657885,1298.2287760416666,0.1615008947540081
492,616752,1296.56470703125,0.17740397390149507
285,431224,1295.8331640625,0.2627956246662439
626,718325,1294.9332660875823,0.16525038016723298
828,405283,1292.6463558799342,0.46971530805839623
